Hour,Load (kW),Load (%),PV
1,954,0.53,0
2,940,0.52,0
3,907,0.5,0
4,930,0.52,0
5,946,0.53,0
6,924,0.51,0
7,997,0.55,0
8,1200,0.67,0.267
9,1597,0.89,0.415
10,1721,0.96,0.508
11,1686,0.94,0.55
12,1600,0.89,0.563
13,1750,0.97,0.488
14,1800,1,0.397
15,1760,0.98,0.247
16,1710,0.95,0.098
17,1477,0.82,0.002
18,1450,0.81,0
19,1500,0.83,0
20,1620,0.9,0
21,1550,0.86,0
22,1120,0.62,0
23,1050,0.58,0
24,1030,0.57,0
25,954,0.53,0
26,940,0.52,0
27,907,0.5,0
28,930,0.52,0
29,946,0.53,0
30,924,0.51,0.029
31,997,0.55,0.192
32,1200,0.67,0.351
33,1597,0.89,0.469
34,1721,0.96,0.553
35,1686,0.94,0.582
36,1600,0.89,0.592
37,1750,0.97,0.545
38,1800,1,0.464
39,1760,0.98,0.308
40,1710,0.95,0.135
41,1477,0.82,0.005
42,1450,0.81,0
43,1500,0.83,0
44,1620,0.9,0
45,1550,0.86,0
46,1120,0.62,0
47,1050,0.58,0
48,1030,0.57,0
49,954,0.53,0
50,940,0.52,0
51,907,0.5,0
52,930,0.52,0
53,946,0.53,0
54,924,0.51,0.035
55,997,0.55,0.23
56,1200,0.67,0.42
57,1597,0.89,0.562
58,1721,0.96,0.647
59,1686,0.94,0.684
60,1600,0.89,0.667
61,1750,0.97,0.592
62,1800,1,0.491
63,1760,0.98,0.311
64,1710,0.95,0.132
65,1477,0.82,0.004
66,1450,0.81,0
67,1500,0.83,0
68,1620,0.9,0
69,1550,0.86,0
70,1120,0.62,0
71,1050,0.58,0
72,1030,0.57,0
73,954,0.53,0
74,940,0.52,0
75,907,0.5,0
76,930,0.52,0
77,946,0.53,0
78,924,0.51,0.018
79,997,0.55,0.137
80,1200,0.67,0.279
81,1597,0.89,0.419
82,1721,0.96,0.489
83,1686,0.94,0.508
84,1600,0.89,0.509
85,1750,0.97,0.444
86,1800,1,0.367
