Hour,Load (kW),Load (%),PV
1,82.93,0.6,0
2,77.9,0.56,0
3,73.88,0.54,0
4,71.95,0.52,0
5,73.81,0.53,0
6,74.01,0.54,0
7,67.88,0.49,0
8,76.89,0.56,0.188
9,83.02,0.6,0.262
10,92.05,0.67,0.312
11,101.81,0.74,0.322
12,103.21,0.75,0.304
13,105.97,0.77,0.264
14,107.2,0.78,0.226
15,103.15,0.75,0.144
16,99.58,0.72,0.05
17,92.46,0.67,0
18,104.15,0.75,0
19,134.26,0.97,0
20,138,1,0
21,126.91,0.92,0
22,110.76,0.8,0
23,97.58,0.71,0
24,91.37,0.66,0
25,82.93,0.6,0
26,77.9,0.56,0
27,73.88,0.54,0
28,71.95,0.52,0
29,73.81,0.53,0
30,74.01,0.54,0.042
31,67.88,0.49,0.213
32,76.89,0.56,0.395
33,83.02,0.6,0.517
34,92.05,0.67,0.537
35,101.81,0.74,0.537
36,103.21,0.75,0.523
37,105.97,0.77,0.453
38,107.2,0.78,0.369
39,103.15,0.75,0.248
40,99.58,0.72,0.093
41,92.46,0.67,0
42,104.15,0.75,0
43,134.26,0.97,0
44,138,1,0
45,126.91,0.92,0
46,110.76,0.8,0
47,97.58,0.71,0
48,91.37,0.66,0
49,82.93,0.6,0
50,77.9,0.56,0
51,73.88,0.54,0
52,71.95,0.52,0
53,73.81,0.53,0
54,74.01,0.54,0.064
55,67.88,0.49,0.259
56,76.89,0.56,0.441
57,83.02,0.6,0.571
58,92.05,0.67,0.624
59,101.81,0.74,0.634
60,103.21,0.75,0.621
61,105.97,0.77,0.576
62,107.2,0.78,0.422
63,103.15,0.75,0.279
64,99.58,0.72,0.106
65,92.46,0.67,0
66,104.15,0.75,0
67,134.26,0.97,0
68,138,1,0
69,126.91,0.92,0
70,110.76,0.8,0
71,97.58,0.71,0
72,91.37,0.66,0
73,82.93,0.6,0
74,77.9,0.56,0
75,73.88,0.54,0
76,71.95,0.52,0
77,73.81,0.53,0
78,74.01,0.54,0.023
79,67.88,0.49,0.133
80,76.89,0.56,0.277
81,83.02,0.6,0.394
82,92.05,0.67,0.473
83,101.81,0.74,0.468
84,103.21,0.75,0.469
85,105.97,0.77,0.424
86,107.2,0.78,0.344
87,103.15,0.75,0.229
88,99.58,0.72,0.085
89,92.46,0.67,0
90,104.15,0.75,0
91,134.26,0.97,0
92,138,1,0
93,126.91,0.92,0
94,110.76,0.8,0
95,97.58,0.71,0
96,91.37,0.66,0
97,82.93,0.6,0
98,77.9,0.56,0
99,73.88,0.54,0
100,71.95,0.52,0
101,73.81,0.53,0
102,74.01,0.54,0.055
103,67.88,0.49,0.231
104,76.89,0.56,0.4
105,83.02,0.6,0.528
106,92.05,0.67,0.61
107,101.81,0.74,0.628
108,103.21,0.75,0.6
109,105.97,0.77,0.548
110,107.2,0.78,0.457
111,103.15,0.75,0.31
112,99.58,0.72,0.131
113,92.46,0.67,0.001
114,104.15,0.75,0
115,134.26,0.97,0
116,138,1,0
117,126.91,0.92,0
118,110.76,0.8,0
119,97.58,0.71,0
120,91.37,0.66,0
121,82.93,0.6,0
122,77.9,0.56,0
123,73.88,0.54,0
124,71.95,0.52,0
125,73.81,0.53,0
126,74.01,0.54,0.072
127,67.88,0.49,0.269
128,76.89,0.56,0.451
129,83.02,0.6,0.578
130,92.05,0.67,0.622
131,101.81,0.74,0.62
132,103.21,0.75,0.61
133,105.97,0.77,0.542
134,107.2,0.78,0.455
135,103.15,0.75,0.301
136,99.58,0.72,0.125
137,92.46,0.67,0.001
138,104.15,0.75,0
139,134.26,0.97,0
140,138,1,0
141,126.91,0.92,0
142,110.76,0.8,0
143,97.58,0.71,0
144,91.37,0.66,0
145,82.93,0.6,0
146,77.9,0.56,0
147,73.88,0.54,0
148,71.95,0.52,0
149,73.81,0.53,0
150,74.01,0.54,0.062
151,67.88,0.49,0.249
152,76.89,0.56,0.425
153,83.02,0.6,0.551
154,92.05,0.67,0.596
155,101.81,0.74,0.562
156,103.21,0.75,0.534
157,105.97,0.77,0.448
158,107.2,0.78,0.374
159,103.15,0.75,0.259
160,99.58,0.72,0.094
161,92.46,0.67,0
162,104.15,0.75,0
163,134.26,0.97,0
164,138,1,0
165,126.91,0.92,0
166,110.76,0.8,0
167,97.58,0.71,0
168,91.37,0.66,0
169,82.93,0.6,0
170,77.9,0.56,0
171,73.88,0.54,0
172,71.95,0.52,0
173,73.81,0.53,0
174,74.01,0.54,0.059
175,67.88,0.49,0.257
176,76.89,0.56,0.442
177,83.02,0.6,0.573
178,92.05,0.67,0.627
179,101.81,0.74,0.629
180,103.21,0.75,0.62
181,105.97,0.77,0.579
182,107.2,0.78,0.466
183,103.15,0.75,0.322
184,99.58,0.72,0.128
185,92.46,0.67,0.001
186,104.15,0.75,0
187,134.26,0.97,0
188,138,1,0
189,126.91,0.92,0
190,110.76,0.8,0
191,97.58,0.71,0
192,91.37,0.66,0
193,82.93,0.6,0
194,77.9,0.56,0
195,73.88,0.54,0
196,71.95,0.52,0
197,73.81,0.53,0
198,74.01,0.54,0.051
199,67.88,0.49,0.237
200,76.89,0.56,0.43
201,83.02,0.6,0.575
202,92.05,0.67,0.651
203,101.81,0.74,0.604
204,103.21,0.75,0.613
205,105.97,0.77,0.443
206,107.2,0.78,0.327
207,103.15,0.75,0.19
208,99.58,0.72,0.089
209,92.46,0.67,0.001
210,104.15,0.75,0
211,134.26,0.97,0
212,138,1,0
213,126.91,0.92,0
214,110.76,0.8,0
215,97.58,0.71,0
216,91.37,0.66,0
217,82.93,0.6,0
218,77.9,0.56,0
219,73.88,0.54,0
220,71.95,0.52,0
221,73.81,0.53,0
222,74.01,0.54,0.05
223,67.88,0.49,0.227
224,76.89,0.56,0.412
225,83.02,0.6,0.559
226,92.05,0.67,0.631
227,101.81,0.74,0.636
228,103.21,0.75,0.546
229,105.97,0.77,0.452
230,107.2,0.78,0.367
231,103.15,0.75,0.218
232,99.58,0.72,0.086
233,92.46,0.67,0
234,104.15,0.75,0
235,134.26,0.97,0
236,138,1,0
237,126.91,0.92,0
238,110.76,0.8,0
239,97.58,0.71,0
240,91.37,0.66,0
241,82.93,0.6,0
242,77.9,0.56,0
243,73.88,0.54,0
244,71.95,0.52,0
245,73.81,0.53,0
246,74.01,0.54,0.012
247,67.88,0.49,0.057
248,76.89,0.56,0.102
249,83.02,0.6,0.159
250,92.05,0.67,0.227
251,101.81,0.74,0.316
252,103.21,0.75,0.347
253,105.97,0.77,0.27
254,107.2,0.78,0.163
255,103.15,0.75,0.088
256,99.58,0.72,0.027
257,92.46,0.67,0
258,104.15,0.75,0
259,134.26,0.97,0
260,138,1,0
261,126.91,0.92,0
262,110.76,0.8,0
263,97.58,0.71,0
264,91.37,0.66,0
265,82.93,0.6,0
266,77.9,0.56,0
267,73.88,0.54,0
268,71.95,0.52,0
269,73.81,0.53,0
270,74.01,0.54,0.021
271,67.88,0.49,0.111
272,76.89,0.56,0.205
273,83.02,0.6,0.267
274,92.05,0.67,0.316
275,101.81,0.74,0.338
276,103.21,0.75,0.328
277,105.97,0.77,0.303
278,107.2,0.78,0.261
279,103.15,0.75,0.122
280,99.58,0.72,0.02
281,92.46,0.67,0
282,104.15,0.75,0
283,134.26,0.97,0
284,138,1,0
285,126.91,0.92,0
286,110.76,0.8,0
287,97.58,0.71,0
288,91.37,0.66,0
289,82.93,0.6,0
290,77.9,0.56,0
291,73.88,0.54,0
292,71.95,0.52,0
293,73.81,0.53,0
294,74.01,0.54,0.012
295,67.88,0.49,0.097
296,76.89,0.56,0.183
297,83.02,0.6,0.194
298,92.05,0.67,0.176
299,101.81,0.74,0.166
300,103.21,0.75,0.17
301,105.97,0.77,0.148
302,107.2,0.78,0.109
303,103.15,0.75,0.066
304,99.58,0.72,0.018
305,92.46,0.67,0
306,104.15,0.75,0
